Disease,Symptom
Dimorphic hemmorhoids(piles),constipation pain during bowel movements bloody stool irritation in anus
Dimorphic hemmorhoids(piles),constipation pain during bowel movements pain in anal region irritation in anus
Dimorphic hemmorhoids(piles),constipation pain during bowel movements pain in anal region bloody stool
Heart attack,vomiting breathlessness sweating chest pain
Heart attack,breathlessness sweating chest pain
Heart attack,vomiting sweating chest pain
Heart attack,vomiting breathlessness chest pain
Heart attack,vomiting breathlessness sweating
Varicose veins,fatigue cramps bruising obesity swollen legs swollen blood vessels prominent veins on calf
Varicose veins,cramps bruising obesity swollen legs swollen blood vessels prominent veins on calf
Varicose veins,fatigue bruising obesity swollen legs swollen blood vessels prominent veins on calf
Varicose veins,fatigue cramps obesity swollen legs swollen blood vessels prominent veins on calf
Varicose veins,fatigue cramps bruising swollen legs swollen blood vessels prominent veins on calf
Varicose veins,fatigue cramps bruising obesity swollen blood vessels prominent veins on calf
Varicose veins,fatigue cramps bruising obesity swollen legs prominent veins on calf
Varicose veins,fatigue cramps bruising obesity swollen legs swollen blood vessels
Hypothyroidism,fatigue weight gain cold hands and feets mood swings lethargy dizziness puffy face and eyes enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation
Hypothyroidism,weight gain cold hands and feets mood swings lethargy dizziness puffy face and eyes enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation
Hypothyroidism,fatigue cold hands and feets mood swings lethargy dizziness puffy face and eyes enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation
Hypothyroidism,fatigue weight gain mood swings lethargy dizziness puffy face and eyes enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation
Hypothyroidism,fatigue weight gain cold hands and feets lethargy dizziness puffy face and eyes enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation
Hypothyroidism,fatigue weight gain cold hands and feets mood swings dizziness puffy face and eyes enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation
Hypothyroidism,fatigue weight gain cold hands and feets mood swings lethargy puffy face and eyes enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation
Hypothyroidism,fatigue weight gain cold hands and feets mood swings lethargy dizziness enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation
Hyperthyroidism,fatigue mood swings weight loss restlessness sweating diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation
Hyperthyroidism,mood swings weight loss restlessness sweating diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation
Hyperthyroidism,fatigue weight loss restlessness sweating diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation
Hyperthyroidism,fatigue mood swings restlessness sweating diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation
Hyperthyroidism,fatigue mood swings weight loss sweating diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation
Hyperthyroidism,fatigue mood swings weight loss restlessness diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation
Hyperthyroidism,fatigue mood swings weight loss restlessness sweating fast heart rate excessive hunger muscle weakness irritability abnormal menstruation
Hyperthyroidism,fatigue mood swings weight loss restlessness sweating diarrhoea excessive hunger muscle weakness irritability abnormal menstruation
Hyperthyroidism,fatigue mood swings weight loss restlessness sweating diarrhoea fast heart rate muscle weakness irritability abnormal menstruation
Hypoglycemia,vomiting fatigue anxiety sweating headache nausea blurred and distorted vision excessive hunger slurred speech irritability palpitations
Hypoglycemia,vomiting fatigue anxiety sweating headache nausea blurred and distorted vision excessive hunger drying and tingling lips slurred speech irritability palpitations
Hypoglycemia,fatigue anxiety sweating headache nausea blurred and distorted vision excessive hunger drying and tingling lips slurred speech irritability palpitations
Hypoglycemia,vomiting anxiety sweating headache nausea blurred and distorted vision excessive hunger drying and tingling lips slurred speech irritability palpitations
Hypoglycemia,vomiting fatigue sweating headache nausea blurred and distorted vision excessive hunger drying and tingling lips slurred speech irritability palpitations
Hypoglycemia,vomiting fatigue anxiety headache nausea blurred and distorted vision excessive hunger drying and tingling lips slurred speech irritability palpitations
Hypoglycemia,vomiting fatigue anxiety sweating nausea blurred and distorted vision excessive hunger drying and tingling lips slurred speech irritability palpitations
Hypoglycemia,vomiting fatigue anxiety sweating headache blurred and distorted vision excessive hunger drying and tingling lips slurred speech irritability palpitations
Hypoglycemia,vomiting fatigue anxiety sweating headache nausea excessive hunger drying and tingling lips slurred speech irritability palpitations
Osteoarthristis,joint pain neck pain knee pain hip joint pain swelling joints painful walking
Osteoarthristis,neck pain knee pain hip joint pain swelling joints painful walking
Osteoarthristis,joint pain knee pain hip joint pain swelling joints painful walking
Osteoarthristis,joint pain neck pain hip joint pain swelling joints painful walking
Osteoarthristis,joint pain neck pain knee pain swelling joints painful walking
Osteoarthristis,joint pain neck pain knee pain hip joint pain painful walking
Osteoarthristis,joint pain neck pain knee pain hip joint pain swelling joints
Arthritis,muscle weakness stiff neck swelling joints movement stiffness painful walking
Arthritis,stiff neck swelling joints movement stiffness painful walking
Arthritis,muscle weakness swelling joints movement stiffness painful walking
Arthritis,muscle weakness stiff neck movement stiffness painful walking
Arthritis,muscle weakness stiff neck swelling joints painful walking
Arthritis,muscle weakness stiff neck swelling joints movement stiffness
(vertigo) Paroymsal  Positional Vertigo,vomiting headache nausea spinning movements loss of balance unsteadiness
(vertigo) Paroymsal  Positional Vertigo,headache nausea spinning movements loss of balance unsteadiness
(vertigo) Paroymsal  Positional Vertigo,vomiting nausea spinning movements loss of balance unsteadiness
(vertigo) Paroymsal  Positional Vertigo,vomiting headache spinning movements loss of balance unsteadiness
(vertigo) Paroymsal  Positional Vertigo,vomiting headache nausea loss of balance unsteadiness
(vertigo) Paroymsal  Positional Vertigo,vomiting headache nausea spinning movements unsteadiness
(vertigo) Paroymsal  Positional Vertigo,vomiting headache nausea spinning movements loss of balance
Acne,skin rash pus filled pimples blackheads scurring
Acne,pus filled pimples blackheads scurring
Acne,skin rash blackheads scurring
Acne,skin rash pus filled pimples scurring
Acne,skin rash pus filled pimples blackheads
Urinary tract infection,burning micturition bladder discomfort foul smell of urine continuous feel of urine
Urinary tract infection,bladder discomfort foul smell of urine continuous feel of urine
Urinary tract infection,burning micturition foul smell of urine continuous feel of urine
Urinary tract infection,burning micturition bladder discomfort continuous feel of urine
Urinary tract infection,burning micturition bladder discomfort foul smell of urine
Psoriasis,skin rash joint pain skin peeling silver like dusting small dents in nails inflammatory nails
Psoriasis,joint pain skin peeling silver like dusting small dents in nails inflammatory nails
Psoriasis,skin rash skin peeling silver like dusting small dents in nails inflammatory nails
Psoriasis,skin rash joint pain silver like dusting small dents in nails inflammatory nails
Psoriasis,skin rash joint pain skin peeling small dents in nails inflammatory nails
Psoriasis,skin rash joint pain skin peeling silver like dusting inflammatory nails
Psoriasis,skin rash joint pain skin peeling silver like dusting small dents in nails
Impetigo,skin rash high fever blister red sore around nose yellow crust ooze
Impetigo,high fever blister red sore around nose yellow crust ooze
Impetigo,skin rash blister red sore around nose yellow crust ooze
Impetigo,skin rash high fever red sore around nose yellow crust ooze
Impetigo,skin rash high fever blister yellow crust ooze
Impetigo,skin rash high fever blister red sore around nose
